gcc_hash,hash_timestamp,libc-libname-tool,libc,target,tool,unique_fails,total_fails
904fbe96180d66b718ca9201fc5e1064e7eec26b,2024-06-05 00:16:55 +0000,newlib-rv32gc ilp32d medlow -gcc,newlib,rv32gc ilp32d medlow ,gcc,8,46
904fbe96180d66b718ca9201fc5e1064e7eec26b,2024-06-05 00:16:55 +0000,newlib-rv32gc ilp32d medlow -g++,newlib,rv32gc ilp32d medlow ,g++,6,21
904fbe96180d66b718ca9201fc5e1064e7eec26b,2024-06-05 00:16:55 +0000,newlib-rv32gc_zba_zbb_zbc_zbs ilp32d medlow -gcc,newlib,rv32gc_zba_zbb_zbc_zbs ilp32d medlow ,gcc,9,53
904fbe96180d66b718ca9201fc5e1064e7eec26b,2024-06-05 00:16:55 +0000,newlib-rv32gc_zba_zbb_zbc_zbs ilp32d medlow -g++,newlib,rv32gc_zba_zbb_zbc_zbs ilp32d medlow ,g++,6,21
904fbe96180d66b718ca9201fc5e1064e7eec26b,2024-06-05 00:16:55 +0000,newlib-rv64gc lp64d medlow -gcc,newlib,rv64gc lp64d medlow ,gcc,4,23
904fbe96180d66b718ca9201fc5e1064e7eec26b,2024-06-05 00:16:55 +0000,newlib-rv64gc lp64d medlow -g++,newlib,rv64gc lp64d medlow ,g++,3,10
904fbe96180d66b718ca9201fc5e1064e7eec26b,2024-06-05 00:16:55 +0000,newlib-rv64gc_zba_zbb_zbc_zbs lp64d medlow -gcc,newlib,rv64gc_zba_zbb_zbc_zbs lp64d medlow ,gcc,4,23
904fbe96180d66b718ca9201fc5e1064e7eec26b,2024-06-05 00:16:55 +0000,newlib-rv64gc_zba_zbb_zbc_zbs lp64d medlow -g++,newlib,rv64gc_zba_zbb_zbc_zbs lp64d medlow ,g++,3,10
904fbe96180d66b718ca9201fc5e1064e7eec26b,2024-06-05 00:16:55 +0000,newlib-rv32gcv ilp32d medlow multilib -g++,newlib,rv32gcv ilp32d medlow multilib ,g++,6,21
904fbe96180d66b718ca9201fc5e1064e7eec26b,2024-06-05 00:16:55 +0000,newlib-rv64gcv lp64d medlow multilib -g++,newlib,rv64gcv lp64d medlow multilib ,g++,3,10
904fbe96180d66b718ca9201fc5e1064e7eec26b,2024-06-05 00:16:55 +0000,newlib-rv64gcv_zvbb_zvbc_zvkg_zvkn_zvknc_zvkned_zvkng_zvknha_zvknhb_zvks_zvksc_zvksed_zvksg_zvksh_zvkt lp64d medlow multilib -g++,newlib,rv64gcv_zvbb_zvbc_zvkg_zvkn_zvknc_zvkned_zvkng_zvknha_zvknhb_zvks_zvksc_zvksed_zvksg_zvksh_zvkt lp64d medlow multilib ,g++,3,10
904fbe96180d66b718ca9201fc5e1064e7eec26b,2024-06-05 00:16:55 +0000,newlib-rv64imafdcv_zicond_zawrs_zbc_zvkng_zvksg_zvbb_zvbc_zicsr_zba_zbb_zbs_zicbom_zicbop_zicboz_zfhmin_zkt lp64d medlow multilib -g++,newlib,rv64imafdcv_zicond_zawrs_zbc_zvkng_zvksg_zvbb_zvbc_zicsr_zba_zbb_zbs_zicbom_zicbop_zicboz_zfhmin_zkt lp64d medlow multilib ,g++,3,10
904fbe96180d66b718ca9201fc5e1064e7eec26b,2024-06-05 00:16:55 +0000,newlib-rv32gcv ilp32d medlow multilib -gcc,newlib,rv32gcv ilp32d medlow multilib ,gcc,13,76
904fbe96180d66b718ca9201fc5e1064e7eec26b,2024-06-05 00:16:55 +0000,newlib-rv64gcv lp64d medlow multilib -gcc,newlib,rv64gcv lp64d medlow multilib ,gcc,7,27
